brand,perfume,accords,notes,scent,longevity,sillage,bottle,value,season,occasion
Valentino,Uomo Intense,"['sweet', 'powdery', 'leathery', 'spicy', 'creamy']","['clary sage', 'mandarin orange', 'iris', 'tonka bean', 'vanilla', 'black leather']",8.4,8.3,8.0,8.5,8.1,winter,evening
Parfums de Marly,Layton Exclusif,"['woody', 'spicy', 'sweet', 'oriental', 'smoky']","['apple', 'bergamot', 'grapefruit', 'geranium', 'lavender', 'oud', 'cinnamon', 'gaiac wood', 'vanilla', 'cypriol', 'patchouli']",8.3,8.6,8.3,8.6,7.0,fall,evening
Chanel,Bleu de Chanel Parfum,"['woody', 'fresh', 'citrus', 'spicy', 'aquatic']","['new caledonian sandalwood', 'cedar']",8.3,7.5,7.1,8.2,7.1,spring,business
Yves Saint Laurent,La Nuit de L'Homme Blue Electrique,"['spicy', 'sweet', 'fresh', 'woody', 'synthetic']","['cardamom', 'ginger', 'bergamot', 'french lavender', 'geranium', 'cedarwood', 'vetiver']",8.5,7.2,7.0,7.8,7.7,fall,evening
Jean Paul Gaultier,Ultra Male,"['sweet', 'fruity', 'synthetic', 'spicy', 'gourmand']","['pear', 'lavender', 'bergamot', 'mint', 'cinnamon', 'clary sage', 'cumin', 'vanilla', 'amber', 'woods']",7.9,8.3,8.2,8.0,8.1,fall,night out
Dior,Dior Homme Original,"['powdery', 'sweet', 'woody', 'spicy', 'gourmand']","['lavender', 'sage', 'bergamot', 'florentine iris absolute', 'cocoa', 'amber', 'guatemala cardamom', 'haitian vetiver', 'leather', 'patchouli']",8.5,7.8,7.4,8.5,7.9,fall,evening
Prada,L'Homme Intense,"['powdery', 'sweet', 'creamy', 'spicy', 'woody']","['iris', 'patchouli', 'roasted tonka bean', 'amber', 'sandalwood']",8.3,8.2,7.7,8.2,8.0,fall,evening
Jean Paul Gaultier,Le Male,"['sweet', 'spicy', 'fresh', 'oriental', 'powdery']","['lavender', 'mint', 'cardamom', 'bergamot', 'tarrragon', 'cinnamon', 'neroli', 'caraway', 'vanilla', 'tonka bean', 'amber', 'sandalwood', 'cedarwood']",7.6,7.7,7.6,7.8,7.9,fall,night out
Zara,Sunrise on the Red Sand Dunes,"['fresh', 'citrus', 'fruity', 'sweet', 'synthetic']","['bergamot', 'mandarin orange', 'amber', 'blackcurrant', 'ginger', 'orange blossom', 'tonka bean']",8.1,6.5,6.5,6.7,9.2,summer,daily
Lalique,Encre Noire,"['woody', 'earthy', 'smoky', 'spicy', 'green']","['cypress', 'vetiveryl acetate', 'bourbon vetiver', 'haitian vetiver', 'cashmere wood', 'musk']",7.8,7.8,7.3,8.1,9.0,fall,evening
Versace,Versace pour Homme Dylan Blue,"['fresh', 'aquatic', 'citrus', 'synthetic', 'spicy']","['aquatic notes', 'calabrian bergamot', 'grapefruit', 'fig leaf', 'ambrox', 'black pepper', 'papyrus', 'patchouli', 'violet leaf', 'frankincense', 'musk', 'tonka bean', 'saffron']",7.7,7.3,7.1,7.8,8.2,spring,daily
Afnan,Turathi Blue,"['citrus', 'fresh', 'fruity', 'woody', 'aquatic']","['mandarin orange', 'bergamot', 'amber', 'woody notes', 'musk', 'patchouli', 'spices']",8.1,7.7,7.5,7.2,9.2,summer,daily
Roja Parfums,Elysium pour Homme,"['citrus', 'fresh', 'woody', 'fruity', 'spicy']","['grapefruit', 'lemon', 'lime', 'artemisia', 'bergamot', 'lavender', 'musk', 'thyme', 'blackcurrant', 'grasse jasmine', 'may rose', 'apple', 'lily of the valley', 'cedarwood', 'juniper berry', 'vetiver', 'ambergris', 'benzoin', 'cypriol', 'galbanum', 'labdanum', 'musk', 'pink pepper', 'leather', 'vanilla']",8.9,8.1,7.6,9.0,5.6,spring,leisure
Creed,Green Irish Tweed,"['green', 'fresh', 'aquatic', 'woody', 'spicy']","['vervain', 'bergamot', 'galbanum', 'lemon', 'peppermint', 'egyptian geranium', 'lavender', 'violet', 'violet leaf', 'ambergris', 'cedarwood', 'indian sandalwood', 'oakmoss']",8.1,7.6,7.2,8.2,6.1,spring,daily
Armaf,Club de Nuit Intense Man,"['citrus', 'smoky', 'fresh', 'fruity', 'woody']","['lemon', 'bergamot', 'pineapple', 'apple', 'blackcurrant', 'birch', 'jasmine', 'rose', 'musk', 'ambergris', 'patchouli', 'vanilla']",7.7,8.2,8.0,6.4,9.0,spring,daily
Hermes,Terre de Hermes Parfum,"['woody', 'earthy', 'spicy', 'citrus', 'fresh']","['grapefruit', 'cedarwood', 'shiso', 'benzoin']",8.3,8.1,7.6,7.8,7.6,fall,daily
Dior,Fahrenheit,"['leathery', 'spicy', 'woody', 'floral', 'smoky']","['cedar', 'chamonile', 'lavender', 'mandarin orange', 'bergamot', 'hawthorn', 'lemon', 'mace', 'violet leaf', 'cedar', 'nutmeg', 'sandalwood', 'carnation', 'honeysuckle', 'jasmine', 'lily of the valley', 'leather', 'musk', 'patchouli', 'vetiver', 'amber', 'tonka bean']",7.9,8.0,7.8,7.8,7.4,fall,evening
Versace,Eros EDT,"['sweet', 'fresh', 'synthetic', 'fruity', 'citrus']","['green apple', 'mint', 'italian lemon', 'venezuelan tonka bean', 'ambroxan', 'geranium', 'bourbon vanilla', 'atlas cedar', 'viriginia cedar', 'oakmoss', 'vetiver']",7.5,7.6,7.6,8.1,7.9,spring,night out
Montblanc,Exporer,"['fresh', 'citrus', 'woody', 'fruity', 'synthetic']","['italian bergamot', 'pink pepper', 'sage', 'haitian vetiver', 'leather', 'ambroxan', 'akigalawood', 'indonesian patchouli', 'cocoa']",7.8,7.0,6.9,7.6,8.4,spring,daily
Guerlian,L'Instant de Guerlian pour Homme,"['gourmand', 'spicy', 'sweet', 'woody', 'oriental']","['star anise', 'citrus notes', 'elemi resin', 'patchouli blossom', 'jasmine', 'neroli', 'cocoa', 'patchouli', 'cedar', 'sandalwood', 'hibiscus seed', 'tea']",8.3,8.5,7.7,7.7,8.0,fall,evening
Amouage,Reflection 45,"['floral', 'powdery', 'spicy', 'woody', 'fresh']","['benzoin', 'cardamom', 'clary sage', 'pink pepper', 'lavender', 'juniper berry', 'iris', 'jasmine', 'neroli', 'tonka bean', 'angelica', 'vanilla', 'myrrh', 'sandalwood', 'cedarwood', 'frankincense', 'opoponax', 'patchouli', 'vetiver']",8.8,8.8,7.8,9.3,6.0,fall,night out
Clive Chrisitan,Jump Up and Kiss Me Hedonistic,"['sweet', 'spicy', 'fruity', 'woody', 'floral']","['black cherry', 'clary sage', 'bergamot', 'grapefruit', 'mate', 'neroli', 'absinthe wormwood', 'opium', 'cocoa leaf', 'iris', 'jasmine', 'papyrus', 'tobacco', 'amber', 'leather', 'labdanum', 'tonka bean', 'vanilla']",8.9,8.5,8.1,8.9,5.5,fall,night out
Maison Margiela,Jazz Club,"['sweet', 'spicy', 'smoky', 'woody', 'gourmand']","['pink pepper', 'neroli', 'primofiore lemon', 'rum absolute', 'clary sage', 'java vetiver', 'tobacco absolute', 'vanilla', 'styrax']",7.9,7.4,7.1,7.9,7.5,fall,evening
Chanel,Egoiste,"['spicy', 'woody', 'oriental', 'sweet', 'floral']","['coriander', 'rosewood', 'mahogany', 'mandarin orangecinnamon', 'carnation', 'rosesandalwood', 'tobacco', 'vanilla', 'amber', 'leather']",8.1,8.1,7.7,7.3,7.5,fall,evening
Dior,Sauvage EDP,"['fresh', 'spicy', 'synthetic', 'citrus', 'woody']","['ambroxan', 'sichuan pepper', 'bergamot', 'lavender', 'nutmeg', 'papua new guinean vanilla', 'star anise']",7.8,8.1,7.8,7.9,7.5,spring,daily
Parfums de Marly,Percival,"['fresh', 'spicy', 'citrus', 'aquatic', 'woody']","['aromatic notes', 'bergamot', 'mandarin orange', 'pink pepperlavender', 'coriander', 'geranium', 'jasmine', 'violet', 'cinnamonbalsam fir', 'pepper', 'spices', 'musk', 'tonka bean']",7.9,7.8,7.5,8.4,6.4,spring,daily
Parfums de Marly,Sedley,"['fresh', 'citrus', 'aquatic', 'woody', 'spicy']","['spearmint', 'aquatic notes', 'bergamot', 'hivernalbourbon geranium', 'lavender', 'solar notecedarwood', 'sandalwood', 'white musk', 'frankincense']",8.1,7.2,6.9,8.5,6.4,summer,daily
Mercedez-Benz,Club Black,"['sweet', 'gourmand', 'creamy', 'spicy', 'woody']","['bergamotfrankincense', 'jasminevanilla', 'ambrox', 'benzoin', 'woods']",8.3,8.0,7.6,6.6,8.7,winter,evening
Giorgio Armani,Acqua di Gio pour Homme,"['fresh', 'aquatic', 'citrus', 'fruity', 'floral']","['lime', 'bergamot', 'lemon', 'jasmine', 'mandarin orange', 'orangemarine notes', 'coriander', 'cyclamen', 'freesia', 'hyacinth', 'peach', 'reseda', 'rose', 'violetmusk', 'amber', 'cedar', 'oakmoss', 'persimmon', 'patchouli']",7.7,6.3,6.3,7.0,7.1,summer,daily
Givenchy,Gentleman Givenchy Reserve Privee,"['sweet', 'spicy', 'powdery', 'woody', 'creamy']","['scotch whisky absolute', 'italian bergamotchestnut', 'italian iris concreteindonesian patchouli', 'virginia cedar', 'haitian cedar']",8.3,7.9,7.5,8.0,7.9,fall,evening
Mugler,A Men Pure Havane,"['sweet', 'gourmand', 'spicy', 'oriental', 'woody']","['honeyed tobacoococoa', 'patchouliambergris', 'labdanum', 'styrax']",8.3,8.1,7.8,6.5,7.9,winter,evening
Yves Saint Laurent,Y EDP,"['fresh', 'sweet', 'synthetic', 'fruity', 'aquatic']","['apple', 'aldehydes', 'bergamot', 'ginger', 'elemi resinjuniper berry', 'sage', 'geranium absolute', 'lavenderoperanide', 'vetiver', 'frankincense', 'tonka bean']",7.5,7.7,7.5,7.6,7.5,spring,leisure
Chanel,Allure Homme Sport EDT,"['fresh', 'citrus', 'aquatic', 'fruity', 'spicy']","['mandarin orange', 'seawater', 'orange', 'aldehydescedar', 'neroli', 'peppermusk', 'tonka bean', 'amber', 'vanilla', 'vetiver']",7.8,7.0,6.8,7.3,7.0,summer,leisure
Chanel,Bleu de Chanel EDT,"['fresh', 'citrus', 'woody', 'spicy', 'aquatic']","['citrus notes', 'pink pepper', 'vetivergrapefruit', 'cedar', 'labdanumginger', 'sandalwood', 'frankincense']",7.6,7.0,6.7,7.9,7.1,spring,daily
Bently,Bently for men Intense,"['spicy', 'woody', 'leathery', 'smoky', 'sweet']","['black pepper', 'frankincense', 'african geraniumleather', 'labdanum', 'clary sagepatchouli', 'cedarwood', 'sandalwood']",7.6,8.4,8.1,7.8,9.1,winter,evening
Maison,masculin pluriel,"['fresh', 'woody', 'fougere', 'spicy', 'floral']","['provencal lavender absolute', 'haitian vetiver', 'grapefruit', 'virginia cedar', 'indonesian patchouli', 'leather']",8.2,7.5,7.0,8.4,6.9,spring,daily
Hugo Boss,Boss Bottled,"['fresh', 'fruity', 'sweet', 'woody', 'spicy']","['apple', 'bergamot', 'citrus fruit', 'lemon', 'plumcinnamon', 'clove', 'geranium', 'mahoganyvanilla', 'sandalwood', 'cedar', 'olive tree', 'vetiver']",7.3,6.4,6.3,6.7,7.4,spring,daily
Roja Parfums,Enigma pour Homme,"['spicy', 'sweet', 'woody', 'oriental', 'floral']","['bergamotgrasse jasmine', 'heliotrope', 'geranium', 'may rose', 'nerolicognac', 'benzoin', 'tobacoo', 'vanilla', 'cardamom', 'ambergris', 'ginger', 'patchouli', 'pepper', 'sandalwood']",8.7,8.7,8.1,9.0,6.1,fall,night out
Chanel,Platinum Egoiste,"['fresh', 'spicy', 'green', 'woody', 'fougere']","['lavender', 'neroli', 'petitgrain', 'rosemaryclary sage', 'geranium', 'galbanum', 'jasminecedar', 'oakmoss', 'amber', 'sandalwood', 'vetiver']",8.1,7.6,7.1,7.4,7.5,spring,daily
Giorgio Armani,Stronger With You Absolutely,"['sweet', 'gourmand', 'spicy', 'woody', 'oriental']","['rum', 'elemi resin', 'bergamotdavana', 'lavendermarron glace', 'bourbon vanilla', 'cedarwood', 'patchouli']",8.3,8.4,8.2,7.7,8.0,winter,evening
Dolce & Gabanna,Light Blue pour Homme Eau Intense,"['fresh', 'aquatic', 'citrus', 'synthetic', 'fruity']","['grapefruit', 'lemon', 'mandarin orangeaquatic notes', 'juniperamberwood', 'clary sage', 'musk']",7.6,7.1,6.8,7.3,7.6,summer,leisure
Givenchy,Gentleman Givenchy,"['powdery', 'sweet', 'spicy', 'creamy', 'woody']","['black pepper', 'lavendertolu balm', 'iris pallidavanilla', 'patchouli']",8.1,8.0,7.6,7.8,7.9,fall,evening
Tom Ford,Beau de Jour,"['fougere', 'green', 'fresh', 'spicy', 'woody']","['lavender', 'provencal lavendergeranium', 'basil', 'cape snow bush', 'oakmosspatchouli', 'amber']",8.2,8.1,7.7,7.8,7.2,spring,daily
Afnan Perfumes,9pm,"['sweet', 'fruity', 'synthetic', 'creamy', 'gourmand']","['apple', 'cinnamon', 'provencal lavender', 'bergamotlily of the valley', 'orange blossomvanilla', 'tonka bean', 'patchouli', 'amber']",8.0,8.3,8.1,7.1,9.3,winter,night out
Viktor & Rolf,Spicebomb,"['spicy', 'sweet', 'oriental', 'woody', 'gourmand']","['pink pepper', 'bergamot', 'grapefruitcinnamon', 'chili', 'saffrontabacco', 'leather', 'vetiver']",7.8,7.6,7.5,7.9,8.0,fall,night out
Rochas,Moustache,"['spicy', 'sweet', 'woody', 'floral', 'oriental']","['mandarin orange', 'pink pepperbulgarian rose', 'atlas cedarbenzoin', 'patchouli']",8.1,7.4,7.1,8.2,8.9,fall,evening
Amouage,Interlude Man,"['smoky', 'spicy', 'oriental', 'woody', 'resinous']","['oregano', 'pimento', 'bergamotfrankincense', 'opoponax', 'amber', 'cistusleather', 'oud', 'patchouli', 'sandalwood']",7.8,9.4,9.1,8.8,6.9,winter,evening
Versace,Eros Flame,"['sweet', 'spicy', 'citrus', 'fruity', 'synthetic']","['mandarin orange', 'chinotto', 'lemon', 'madagascar pepper', 'rosemarypepperwood', 'rose', 'geraniumtonka bean', 'vanilla', 'sandalwood', 'texas cedar', 'haitian vetiver', 'oakmoss', 'patchouli']",7.8,7.8,7.6,8.1,7.9,fall,night out
Chanel,Antaeus,"['spicy', 'woody', 'animal', 'leathery', 'earthy']","['clary sage', 'coriander', 'myrrh', 'bergamot', 'lemon', 'limethyme', 'basil', 'jasmine', 'rosecastoreum', 'labdanum', 'oakmoss', 'patchouli']",8.1,8.6,8.1,7.8,7.8,fall,evening
Lataffa,Oud for Glory,"['oriental', 'woody', 'spicy', 'sweet', 'smoky']","['bergamot', 'blackcurrant', 'pink pepperoud', 'caramel', 'peonyamber', 'patchouli', 'raspberry']",7.8,8.2,7.9,8.2,9.2,winter,evening
Davidoff,Cool Water,"['fresh', 'aquatic', 'green', 'synthetic', 'spicy']","['green notes', 'lavender', 'mint', 'rosemary', 'coriandergeranium', 'neroli', 'sandalwood', 'jasminecedarwood', 'oakmoss', 'musk', 'amber', 'tobacco']",7.2,6.5,6.4,6.7,8.3,summer,daily
Parfums de Marly,Haltane,"['spicy', 'woody', 'oriental', 'sweet', 'leathery']","['clary sage', 'lavender', 'bergamotsaffron', 'praline', 'cedarwood', 'elder woodmusk', 'oud', 'leather', 'patchouli', 'vetiver']",8.3,8.3,8.0,8.5,6.7,fall,evening
Creed,Aventus Cologne,"['fresh', 'citrus', 'fruity', 'woody', 'spicy']","['mandarin orange', 'ginger', 'pink pepperpineapple', 'vetiver', 'patchoulimusk', 'birch', 'styrax']",8.4,7.2,7.0,8.1,6.1,summer,leisure
Nasomatto,Pardon,"['woody', 'spicy', 'resinous', 'oriental', 'smoky']","['warm spicy', 'oud', 'chocolate', 'woody', 'sweet', 'floral', 'cinnamon', 'vanilla', 'powdery', 'cacao']",8.2,8.7,8.0,8.7,7.3,winter,evening
Missoni,Missoni Wave,"['fresh', 'aquatic', 'citrus', 'creamy', 'sweet']","['italian mandarin orange', 'marine notesclary sage', 'egyptian pelargonium', 'lavender', 'rosemaryvanilla orchid', 'haitian vetiver', 'oakmoss', 'patchouli']",8.0,7.3,7.0,8.0,9.0,summer,daily
Sander,Sun Men,"['fresh', 'sweet', 'fruity', 'citrus', 'spicy']","['calone', 'bergamot', 'rosemaryfrangipani', 'cardamom', 'musk', 'nutmegamber', 'cedarwood']",7.5,6.4,6.3,6.3,8.5,summer,leisure
Atkinsons,Oud Save the King,"['woody', 'sweet', 'oriental', 'spicy', 'leathery']","['earl grey tea', 'bergamotsuede', 'irissandalwood', 'oud']",8.3,8.2,7.7,8.1,7.4,winter,evening
Dior,Dior Homme Cologne,"['citrus', 'fresh', 'fruity', 'aquatic', 'floral']",['calabrian bergamotmoroccan grapefruit blossomwhite musk'],8.2,6.1,5.8,8.2,6.9,summer,daily
Versace,Versace pour Homme EDT,"['fresh', 'citrus', 'aquatic', 'synthetic', 'floral']","['bergamot', 'bitter orange leaf', 'lemon', 'nerolicedarwood', 'clary sage', 'geranium', 'hyacinthmusk', 'mineral amber', 'tonka bean', 'oud']",7.8,6.4,6.3,7.7,8.1,summer,daily
Yves Saint Laurent,L'Homme,"['fresh', 'spicy', 'sweet', 'woody', 'citrus']","['ginger', 'bergamot', 'lemonviolet', 'basil', 'spices', 'white peppertonka bean', 'cedarwood', 'vetiver']",8.0,6.3,6.0,7.5,7.2,spring,daily
Amouage,Epic Man,"['spicy', 'woody', 'oriental', 'smoky', 'resinous']","['frankincense', 'pink pepper', 'cardamom', 'myrtle', 'nutmeg', 'cumin', 'mace', 'saffronmyrrh', 'geraniumfrankincense', 'leather', 'castoreum', 'cedarwood', 'oud', 'musk', 'patchouli', 'sandalwood']",8.0,8.4,8.0,8.7,6.8,fall,evening
Kilian,Intoxicated,"['spicy', 'sweet', 'gourmand', 'oriental', 'woody']","['green cardamom', 'green cardamom absolute', 'caramel', 'mocha', 'vanilla', 'cinnamon', 'nutmeg']",8.2,8.1,7.7,8.4,6.5,fall,evening
Versace,The Dreamer,"['floral', 'sweet', 'spicy', 'fresh', 'powdery']","['artemisia', 'tarragon', 'juniperiris', 'flax', 'lilytobacco flower', 'amber']",7.6,6.9,6.6,7.8,8.8,spring,leisure
Dior,Eau Savage,"['citrus', 'fresh', 'spicy', 'green', 'woody']","['lemon', 'bergamot', 'basil', 'lavender', 'rosemary', 'cumin', 'fruity notescarnation', 'coriander', 'jasmine', 'sandalwood', 'orris root', 'patchouli', 'roseoakmoss', 'musk', 'vetiver', 'amber']",8.1,6.5,6.2,8.0,7.1,summer,daily
Armaf,Club de Nuit Intense Man Limited Edition,"['citrus', 'smoky', 'fresh', 'fruity', 'woody']","['lemon', 'bergamot', 'lime', 'black pepper', 'pineapple', 'pink pepperlily of the valley', 'freesia', 'jasmine', 'roseambroxan', 'ambergris', 'cedarwood', 'patchouli', 'white musk', 'leather']",8.3,8.5,8.3,7.2,8.9,spring,daily
Lataffa,Asad,"['spicy', 'sweet', 'woody', 'oriental', 'fresh']","['black pepper', 'tobacco', 'pineapplepatchouli', 'iris', 'coffeeamber', 'benzoin', 'dry woods', 'labdanum', 'vanilla']",7.9,8.0,7.8,6.8,9.2,fall,evening
Rasasi,Hawas for Him,"['fresh', 'fruity', 'sweet', 'aquatic', 'synthetic']","['apple', 'bergamot', 'lemon', 'pear', 'cinnamon', 'pineapplemelon', 'orange blossom', 'plum', 'violet', 'cardamommusk', 'ambergris', 'amberwood', 'cedarwood', 'patchouli', 'sandalwood']",7.8,8.2,8.0,7.6,8.4,summer,leisure
Maison Francis Kurkdijian,Amyris Homme,"['fresh', 'sweet', 'woody', 'spicy', 'citrus']","['caribbean amyris', 'sicilian mandarin orange', 'brazilian tonka bean absolute', 'florentine iris', 'vanilla', 'ceylonese cinnamon', 'saffron']",8.4,7.9,7.5,8.3,6.4,spring,leisure
Penhaligon's,The Tragedy of Lord George,"['spicy', 'woody', 'sweet', 'fougere', 'creamy']","['soap', 'rum', 'tonka bean', 'ambrox']",8.2,7.4,7.1,9.2,6.3,fall,evening
